Reporting Period:,Lifetime
Report Type:,Account Performance
Grouped By:,6sense Accounts
Time of Report:,Tue Jun 16 2026 10:47:01 GMT-0600


Campaign ID,6sense Company Name,6sense Country,6sense Domain,Impressions,Clicks,Spend,Website Engagement,Latest Impression,Influenced Form Fills,Video Error,Video Start,Video Skip,Video 25% Complete,Video 50% Complete,Video 75% Complete,Video 100% Complete,Mid-points,Completions,Completion rate,Cost per completed view (CPCV)
323379,"CG Oncology","United States","cgoncology.com","109","0","$0.83",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323380,"Bristol Myers Squibb","United States","bms.com","1,180","0","$9.13",New,2026-06-09,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"Bristol Myers Squibb","United States","bms.com","1,479","1","$11.20",New,2026-06-13,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"Brainstorm Cell Therapeutics Inc.","United States","brainstorm-cell.com","36","0","$0.27",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"BlueRock Therapeutics","United States","bluerocktx.com","80","0","$0.60",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"BlueRock Therapeutics","United States","bluerocktx.com","1","0","$0.01",-,2026-06-15,"0","0","1","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"Biogen","United States","biogen.com","165","0","$1.50",-,2026-06-15,"0","9","149","0","107","90","72","66","90","66","40.00%","$0.02"
323379,"Biogen","United States","biogen.com","1,156","2","$8.76",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"BioMarin Pharmaceutical Inc.","United States","biomarin.com","418","0","$3.17",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324927,"BioMarin Pharmaceutical Inc.","United States","biomarin.com","20","0","$0.19",-,2026-06-15,"0","1","20","0","14","12","9","8","12","8","40.00%","$0.02"
323380,"BioMarin Pharmaceutical Inc.","United States","biomarin.com","338","0","$2.62",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"BioMarin Pharmaceutical Inc.","United States","biomarin.com","16","0","$0.15",-,2026-06-15,"0","0","16","0","8","6","4","4","6","4","25.00%","$0.04"
323379,"BioCardia, Inc.","United States","biocardia.com","19","0","$0.14",-,2026-06-13,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"Beam Therapeutics","United States","beamtx.com","287","0","$2.17",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"Beam Therapeutics","United States","beamtx.com","9","0","$0.08",-,2026-06-15,"0","0","9","0","7","7","6","5","7","5","55.56%","$0.02"
323379,"Aurion Biotech","United States","aurionbiotech.com","35","0","$0.26",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"Aurion Biotech","United States","aurionbiotech.com","2","0","$0.02",-,2026-06-13,"0","0","2","0","1","0","0","0","0","0","0.00%","$0.00"
323379,"Astellas Pharma","United States","astellas.com","885","0","$6.70",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"Astellas Pharma","United States","astellas.com","66","0","$0.60",-,2026-06-15,"0","3","65","0","44","40","35","30","40","30","45.45%","$0.02"
323379,"AskBio Inc.","United States","askbio.com","228","0","$1.73",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"AskBio Inc.","United States","askbio.com","6","0","$0.05",-,2026-06-15,"0","0","6","0","2","2","2","2","2","2","33.33%","$0.03"
323379,"Arcturus Therapeutics","United States","arcturusrx.com","108","0","$0.82",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"Arcturus Therapeutics","United States","arcturusrx.com","6","0","$0.05",-,2026-06-14,"0","0","6","0","4","4","3","3","4","3","50.00%","$0.02"
324978,"Arcellx","United States","arcellx.com","1","0","$0.01",-,2026-06-12,"0","0","1","0","1","1","1","1","1","1","100.00%","$0.01"
323379,"Arcellx","United States","arcellx.com","116","0","$0.88",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"Amgen","United States","amgen.com","2,074","0","$15.71",New,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323380,"Amgen","United States","amgen.com","1,918","0","$14.84",New,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324927,"Amgen","United States","amgen.com","505","0","$4.69",-,2026-06-15,"0","20","466","2","344","268","216","184","268","184","36.44%","$0.03"
324978,"Amgen","United States","amgen.com","291","1","$2.64",-,2026-06-15,"0","14","268","1","202","165","130","106","165","106","36.43%","$0.02"
323379,"Abeona Therapeutics","United States","abeonatherapeutics.com","68","0","$0.52",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323380,"Abeona Therapeutics","United States","abeonatherapeutics.com","66","0","$0.51",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"Abeona Therapeutics","United States","abeonatherapeutics.com","1","0","$0.01",-,2026-06-12,"0","0","1","0","0","0","0","0","0","0","0.00%","$0.00"
324927,"Abeona Therapeutics","United States","abeonatherapeutics.com","6","0","$0.06",-,2026-06-15,"0","0","6","0","2","2","2","1","2","1","16.67%","$0.06"
323379,"AbbVie","United States","abbvie.com","2,982","1","$22.59",Increased,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"AbbVie","United States","abbvie.com","538","0","$4.88",-,2026-06-15,"0","58","519","0","372","335","274","212","335","212","39.41%","$0.02"
323379,"AIVITA Biomedical","United States","aivitabiomedical.com","35","0","$0.26",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"4D Molecular Therapeutics","United States","4dmoleculartherapeutics.com","146","0","$1.10",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"4D Molecular Therapeutics","United States","4dmoleculartherapeutics.com","1","0","$0.01",-,2026-06-14,"0","0","1","0","1","1","1","0","1","0","0.00%","$0.00"
